month_year,state,fips,new_case,state_pop,new_case_per
05/2020,OK,40,2983,3940521,75.7006497364181
05/2020,OR,41,1733,4199563,41.26619841159663
05/2020,PA,42,27806,12823989,216.82800882003255
05/2020,PR,72,316,3400000,9.294117647058824
05/2020,PW,70,0,18092,0.0
05/2020,RI,44,6145,1061712,578.782193287822
05/2020,SC,45,6066,5088916,119.20023832187445
05/2020,SD,46,2544,877790,289.81874935918614
05/2020,TN,47,12271,6782564,180.91978195856316
05/2020,TX,48,36200,28704330,126.11337731972841
05/2020,UT,49,5191,3159345,164.306209040165
05/2020,VA,51,28497,8525660,334.24978242153685
05/2020,VI,78,3,106290,2.822466836014677
05/2020,VT,50,108,623960,17.308801846272196
05/2020,WA,53,7353,7530552,97.64224455259057
05/2020,WI,55,11549,5818049,198.5029689505881
05/2020,WV,54,885,1803077,49.08276241114495
05/2020,WY,56,344,573720,59.95956215575542
05/2021,AK,02,2072,738068,280.7329405962594
05/2021,AL,01,8510,4888949,174.06604159707945
05/2021,AR,05,5656,3020327,187.26449156001982
05/2021,AS,60,0,55197,0.0
05/2021,AZ,04,18953,7123898,266.04816632691825
05/2021,CA,06,39932,39776830,100.39010147364685
05/2021,CO,08,30505,5684203,536.6627476182678
05/2021,CT,09,8273,3588683,230.53025302039774
05/2021,DE,10,3619,971180,372.6394695113161
05/2021,FL,12,87180,21312211,409.06126539381575
05/2021,GA,13,23654,10545138,224.31190563840892
05/2021,GU,66,198,168783,117.31039263432929
05/2021,HI,15,2341,1426393,164.1202669951409
05/2021,IA,19,6582,3160553,208.25469466893924
05/2021,ID,16,4422,1753860,252.12958845061752
05/2021,IL,17,47131,12768320,369.12452068870454
05/2021,IN,18,23723,6699629,354.0942341732654
05/2021,KS,20,5182,2918515,177.55605162214346
05/2021,KY,21,11451,4472265,256.0447558451925
05/2021,LA,22,12836,4682509,274.1265419884938
05/2021,MA,25,18064,6895917,261.95210876232994
05/2021,MD,24,11604,6079602,190.8677574617549
05/2021,ME,23,6289,1341582,468.77492393308796
05/2021,MI,26,39926,9991177,399.6125781777262
05/2021,MN,27,25638,5628162,455.5305977333275
05/2021,MO,29,14044,6135888,228.88292615510582
05/2021,MP,69,19,57557,33.010754556352836
05/2021,MS,28,5132,2982785,172.05396969610618
05/2021,MT,30,3012,1062330,283.5277173759566
05/2021,NC,37,29807,10390149,286.8775029116522
05/2021,ND,38,2323,755238,307.58515858577033
05/2021,NE,31,3255,1932549,168.43039943618504
05/2021,NH,33,3860,1350575,285.80419450974586
05/2021,NJ,34,19109,9032872,211.54954924635263
05/2021,NM,35,5415,2090708,259.00317021793575
05/2021,NV,32,8694,3056824,284.41284156366214
05/2021,NY,36,32062,19862512,161.41966333362063
05/2021,NYC,36061,19860,8400000,236.42857142857142
05/2021,OH,39,29932,11694664,255.94578860923238
05/2021,OK,40,4072,3940521,103.33658924797
05/2021,OR,41,16663,4199563,396.77937918778696
05/2021,PA,42,50716,12823989,395.47756942087204
05/2021,PR,72,5733,3400000,168.6176470588235
05/2021,PW,70,0,18092,0.0
05/2021,RI,44,3533,1061712,332.7644408276444
05/2021,SC,45,13515,5088916,265.5771877547203
05/2021,SD,46,1531,877790,174.41529295161715
05/2021,TN,47,16699,6782564,246.20482755488928
05/2021,TX,48,60617,28704330,211.17719870138058
05/2021,UT,49,8847,3159345,280.0263978767751
05/2021,VA,51,15044,8525660,176.4555471365267
05/2021,VI,78,333,106290,313.2938187976291
05/2021,VT,50,1185,623960,189.91602025770882
05/2021,WA,53,33767,7530552,448.40006416528297
05/2021,WI,55,13970,5818049,240.11485637195563
05/2021,WV,54,8585,1803077,476.1305257623496
05/2021,WY,56,2164,573720,377.18747821236843
06/2020,AK,02,481,738068,65.17014692413166
06/2020,AL,01,24829,4888949,507.859664725486
06/2020,AR,05,13524,3020327,447.76608625489894
06/2020,AS,60,0,55197,0.0
06/2020,AZ,04,59300,7123898,832.4094477489712
06/2020,CA,06,156805,39776830,394.2119067809073
06/2020,CO,08,6416,5684203,112.87422352790708
06/2020,CT,09,4313,3588683,120.18336531814039
06/2020,DE,10,1977,971180,203.5667950328466
06/2020,FL,12,101038,21312211,474.0850210238628
06/2020,GA,13,36065,10545138,342.0059557304987
06/2020,GU,66,92,168783,54.50785920382977
06/2020,HI,15,264,1426393,18.50822318954173
